,Scots Wha Hae,,,,Albannaich a chail ur fuil,Praise | Political,Scotland | William Wallace,Eight line verse,Scotland,Male ,Robert,Burns,,1759 - 1796,,,1793,Publication,,,,,,Vol 1. No. 1 ,Mac-Talla,May 28 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Translated from English by A. MacLean Sinclair,"""Fhuair sinn an dan so anns a Chasket. Cha’n eil fhios againn co thug gu Gaelic e| ach se ar barail gun d’thug e ionnsaidh mhath air. Thug an t-Urr. A. MacIllean Sinclair an dan so gu Gaelic ach cha d’fhuair sinn greim an fhathast. Bhitheamaid an comain neach sam bith a chuireadh g’ar n’ionnsaidh e.""",,
,Dol Fodha na Greine,,,,Tha thus ’a ghrian is aillidh snuadh,Praise | Nature,Sun,Eight line verse,Scotland,Male ,N.,MacLeoid,,,,,,Publication,,,,,,Vol 1. No. 2 ,Mac-Talla,June 4 1892,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,,,,
,Seann Sgeul agus Oran,,,,Sgeul a chualas bho’n de,Love,Hunter,Three line verse,Scotland,Unknown,,,,,Gaick,,,Publication,,,,,,Vol 1. No. 2 ,Mac-Talla,June 4 1892,2,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,See Transactions of the Gaelic Society of Inverness | Volume 20 | p. 192,,,
,A' Cathair Ghaidhlig,,Faigh a naus [ a nuas ] dhuinn am botal,,Gur binn leam an sgeul ud,Local events and characters | Praise,Gaelic Chair Edinburgh,Eight line verse,Scotland,Male ,N.,MacLeod,,,,,,Publication,,,,,,Vol 1. No. 3 ,Mac-Talla,June 11 1892,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,"""CHAIDH an t-oran so a dheanamh aig an am ’s an robh a’ Chathair Ghaidhlig air a suidheachadh ann an Duneidean""",,,
,Dhia Gleidh 'Bhanrigh ,God Save the Queen,,,Dhia gleidh ar Banrigh mhor,Political | Praise,Queen Victoria,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol 1. No. 8 ,Mac-Talla,July  16 1892,1,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Translated from English, Le Aoghnas Domhnullach [ translator ? ],,
,Brosnachadh Catha-Bhruis,Scots Wha Hae,,,’Fheachd Alba| thug le Uallas buaidh,Praise | Political,Scotland | Bruce,Eight line verse,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 8,Mac-Talla,July  16 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Translated from English,Translated by S. A. | Arisaig 1892?,,
,Dh'fhalbh Mi Fhein 'us Ceathar Ghillean,,,Ghoid sinn i am beagan uine,Dh’fhalbh mi fhein ’us ceathrar ghillean,Port à Beul,,Four line verse / Four line chorus,Scotland,Unknown,,,,,,,,Publication,,,,,,Vol. 1. No. 9,Mac-Talla,July  23 1892,3,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Inlcuded in story from Fionn,,,
,Nigh'nn Donn a Chuil Reidh,Nighean Donn a Chùil Rèidh,Willie's on the Stormy Sea,Eh ho ro mo nigh’n [nighean ] donn,Se do chomhradh| a ruin,Love,Mary MacDonald,Six line verse / Six line chorus,Nova Scotia,Male ,[ Calum ], [ Mac'Ill'Iosa ],[ Calum Eòghain 'ic Aonghais 'ic Caluim 'ic Dhòmhnaill 'ic Dhonnchaidh ],1856 - 1929,Southwest Margaree,Inverness,1887,Publication,,,,,,Vol. 1. No. 9,Mac-Talla,July  23 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by C.,,,
,Eilean Leodhais,,,,A chiall nach mise,Homeland | Praise,Lewis,Four line verse,Scotland,Male ,[ Muchadh ],[ MacLeòid ],[ Murchadh A' Cheisteir ],,,Lewis,,Publication,,,,,,Vol. 1. No. 10,Mac-Talla,July  30 1892,3,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Included with letter from Tormoid | Montreal | 1892,,,
,Bealach-na-Beiste,,,Dh’fhalbh mi fhin ’s mo thiuir le cheile,Dh’eirich sinn moch maduinn dhruchd,Homeland | Political | Complaint,Bealach-na-beiste | Isle of Skye,Four line verse / Two line chorus,Scotland,Female,[ Màiri ],[ Nic A ' Phearsain ],Mairi nighean Iain Bhain [ Mairi Mhòr nan Òran ] ,,Bealach-na-Beiste ,Isle of Skye,c. 1891,Publication,,,,,,Vol. 1. No. 10,Mac-Talla,July  30 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,"""Chaidh orain Mairi nighean Ian Bhain a chuir a mach an uiridh. Tha i fhathast slan| fallain| ged tha i coir ’us tri fichead bliadhna ’s a deich a dh’aois."" ",,,
,Marbh-rann neo Cumha Sauil agus Ionatain,2 SAM. I| 19—27,,Och nan och! us och mo leòn!,O! ailleachd Israeil mo ghraidh,Religious,King David ,Four line verse,Scotland,Male ,,,,,,,,Publication,,,,,,Vol. 1. No. 11,Mac-Talla,August 6 1892,4,http://www.smo.uhi.ac.uk/en/rannsachadh/leabharlann/cruinneachadh-didseatach-old/mac-talla-iris-1/,Submitted by D.B.B. [ Blair? ],,,
