id,surname_gd,forenames_gd,surname_en,forenames_en,title,nickname,yob,yod,where

1,Borthwick,Alastair,Borthwick,Alexander,,,,,Jura
10,Darroch,Alexander,Darroch,Alexander,,,,,Colonsay
11,MacFhearghuis,Calum,Ferguson,Calum,,,,,Lewis
12,Mac a’ Bhreatunnaich,Pòl,Galbraith,Paul,,,1923,2011,South Uist
13,Grannd,Domhnull,,,,,,,Skye
14,Hay,George Campbell,Hay,George Campbell,,Deòrsa Mac Iain Dheòrsa,1915,1984,Argyll
15,MacIsaac,Somhairle,,,Reverend,,,,Small Isles
16,MacIain,Donnchadh,,,,,,,Islay
17,MacLaomuinn,Dòmhnall,,,,,1874,1958,Tiree
18,MacCalmain,Tòmas M.,MacCalman,Thomas M.,,,,,Skye
19,MacCumhais,Domhnull Iain,,,,,,,
2,Caimbeul,Alasdair,Campbell,Alexander,,Alasdair Mhurchaidh Òig,,,Lewis
20,Dòmhnallach,Ailein,MacDonald,Alan,Maighstear,,,,Fort William
21,Domhnullach,Colla,,,Reverend,,,,Mull
22,Dòmhnallach,Dòmhnall Alasdair,MacDonald,Donald Alexander,,,1919,2003,Lewis
23,MacDhomhnuill,Domhnull,MacDonald,Donald,,,,,South Uist
24,MacDhòmhnaill,Dòmhnall,MacDonald,Donald,,Dòmhnall Aonghais Bhàin,1920,2000,South Uist
25,MacDhòmhnaill,Dòmhnall Iain,MacDonald,Donald John,,Dòmhnall Iain Dhonnchaidh,1919,1986,South Uist
26,Domhnullach,Fionnlagh,MacDonald,Finlay,,,,,Harris
27,MacDhomhnuill,Seumas,MacDonald,James,Reverend,,,,Benbecula
28,MacDhòmhnaill,Coinneach Dòmhnall,MacDonald,Kenneth Donald,,,,,
29,MacDhomhnuill,Niall,,,,,,,North Uist
3,Caimbeul,Alasdair,Campbell,Alexander,,Alasdair a’ Bhocsair,1941,,Lewis
30,MacDhughaill,Eachann,,,,,,,Coll
31,MacGille Sheathanaich,Niall,,,,,,,Jura
32,Mac Griogair,Alasdair,,,Reverend,,1806,1881,Skye
33,MacIomhair,Calum,,,,,,,Lewis
34,NicAoidh,Cairistiona,MacKay,Christine,,,,,Mull
35,MacEacharna,Dòmhnall,,,,,1836,1908,Jura
36,MacCoinnich,Cailean T.,,,,,,,
37,MacCoinnich,Seumas,,,,,,,Harris
38,NicCoinnich,Liusaidh,,,,,,,
39,Mac Fhionghain,Domhnall,,,Professor,,,,Colonsay
4,Caimbeul,Aonghas,Campbell,Angus,,Am Bocsair,1908,1949,Lewis
40,MacGilleathain,Calum,MacLean,Calum,,,,,Harris
41,Mac ’Illeathain,Iain,MacLean,John,,,,,Skye
42,MacIlleathain,Ruairidh,MacLean,Roddy,,,,,
43,MacGill-Eain,Somhairle,MacLean,Sorley,,,1911,1996,Skye
44,MacLeòid,Calum Iain N.,MacLeod,Calum John N.,,,,,
45,MacLeòid,Domhnull Seumas,MacLeod,Donald James,,,,,
46,MacLeòid,Iain Aonghas,MacLeod,John Angus,,,,,Harris
47,MacLeòid,Iain,MacLeod,John,,Suileabhan,1889,1956,Lewis
48,MacLeòid,Iain,MacLeod,John,,,1934,,Skye
49,MacLeòid,Coinneach,,,,,,,Gigha
5,Caimbeul,Aonghas,Campbell,Angus,,Am Puilean,1903,1982,Lewis
50,MacLeòid,Coinneach,,,,,,,Eigg
51,MacMhaoilein,Calum,MacMillan,Calum,,,,,Lewis
52,Mac ’Ille Mhaoil,Iain,MacMillan,John,Father,,,,Barra
53,MacNèill,Dòmhnall A.,MacNeill,Donald Archibald,,,1924,1995,Colonsay
54,NicNèill,Folalie,MacNeil,Folalie,,,,,Colonsay
55,Mac A’ Phi,Eoghan,,,,,,,
56,Mac a’ Phearsain,Seonaidh Ailig,MacPherson,John Alick,,,1937,2017,Lewis
57,MacMhathain,Aonghas,Matheson,Angus,,,,,North Uist
58,Moireasdan,Iain,,,,,,,
59,Mac ’Ille Mhoire,Niall,,,,,,,Mull
6,Chaimbeul,Ealasaid,Campbell,Elizabeth,,,1913,,South Uist
60,Moireach,Iain,Murray,John,,,1938,2018,Lewis
61,Watt,Eilidh,Watt,Eilidh,,,1908,1996,Skye
62,Uilleam Chaluim,Mairead,William Calum,Margaret,,,,,
63,Ros,Niall,,,Doctor,,,,Skye
64,Mac a’ Ghobhainn,Iain,Smith,John,Reverend,,,,Argyll
65,Mac a’ Ghobhainn,Iain,Smith,Ian Crichton,,,1928,1998,Lewis
66,Bean Alasdair,Seonag,,,,,,,
67,Stiubhart,Iain,Stuart,John,Reverend,,,,Argyll
68,MacThòmais,Ruairidh,Thomson,Derick,,,1921,2012,Lewis
69,MacThòmais,Seumas,Thomson,James,,,,,Lewis
7,Caimbeul,Iain Latharna,Campbell,John Lorne,,,,,Argyll
70,MacBhàtair,Uilleam,Watson,William J.,Professor,,,,
8,Caimbeul,Tormod,Campbell,Norman,,Tormod a’ Bhocsair,1942,2015,Lewis
9,Camshron,Eachunn,,,Reverend,,,,Tiree
