"2","'s e droch mhì-thuigse air a’ chùis a bha anns a’ cho-dhùnadh","","a","the decision was a serious misjudgment"
"2","'s e saidheans doirbh a tha ann an eaconamas","","a","economics is a difficult science"
"2","'s e sin aon dual san deasbaireachd","","a","that is one strand of the argument"
"2","'s e tachartas bitheanta a bha seo","","a","this was a regular occurrence"
"2","'s e àm fàbharach a tha seo","","a","this is an opportune time"
"2","(an luchd-èisteachd) nan seasamh ri bualadh-bhasan (fada)","","a","standing ovation"
"2","(daoine) a dhèanamh mothachail air fìrinn na cùise","","a","raise awareness of the facts"
"2","(deagh) c(h)liù a’ Bhuill seo","","a","the (good) reputation of this Member"
"2","(lethbhreac) airson fiosrachaidh","","a","(copy) for information"
"2","(neach"," buidheann) a thoirt a thaobh","","a","find favour (with a person"," group)"
"2","(nì) luachmhor a chaidh a chur ris an deasbad","","a","valuable contribution to the debate"
"2","(rinneadh) am moladh le deagh rùn","","a","the proposal was well-intentioned"
"2","A Mòrachd a’ Bhanrigh","","a","Her Majesty The Queen"
"2","A Shoillse","","a","Her Excellency"
"2","A Soillse","","a","His Excellency"
"2","Acadamaidh","","a","Academy"
"2","Achd","","a","Act"
"2","Achd Dìon Dàta","","a","Data Protection Act"
"2","Achd Leth-bhreith a thaobh Gnè","","a","Sex Discrimination Act"
"2","Achd Phrìobhaideach Pàrlamaid","","a","Private Act of Parliament"
"2","Achd Pàrlamaid","","a","Act of Parliament"
"2","Achd Saorsa an Fhiosrachaidh","","a","Freedom of Information Act"
"2","Achd ais-ghairm","","a","repeal an Act"
"2","Achd an Fhoghlaim","","a","Education Act"
"2","Achd nan Rùintean-dìomhair Oifigeil","","a","Official Secrets Act"
"2","Aithisg Bhliadhnail do Chloinn agus Daoine Òga","","a","Annual Report to Children and Young People"
"2","Aithisg Oifigeil","","a","official report"
"2","Aithisg bhliadhnail air Buidheann Chorporra Pàrlamaid na h-Alba","","a","Annual Report of the Scottish Parliamentary Corporate Body"
"2","Aithris Chunntasan Bliadhnail agus Riaghlaidh","","a","Annual Accounts and Governance Statement"
"2","Alba","","a","Scotland"
"2","Alba Mheadhanach agus Fìobh","","a","Mid-Scotland and Fife (region)"
"2","Am Buidseat","","a","The Budget"
"2","Am Fìor Onarach","","a","The Right Honourable"
"2","Am Monadh Neagrach","","a","Montenegro"
"2","Am Morair Dòmhnallach","","a","Lord MacDonald"
"2","An Cnatan Mòr A","","a","influenza A (H1N1)"
"2","An Crannchur Nàiseanta","","a","National Lottery"
"2","An Cruinneachadh","","a","The Gathering"
"2","An Eaglais Bhreac","","a","Falkirk"
"2","An Roinn-Ghnìomha agus an Roinn-Cheartais","","a","the Executive and the Judiciary"
"2","An Rìoghachd Aonaichte","","a","United Kingdom"
"2","An Rìoghachd Aonaichte (RA)","","a","United Kingdom (UK)"
"2","An Seansalair","","a","Chancellor of the Exchequer"
"2","An Seula Mòr","","a","The Great Seal"
"2","An t-Eadar-lìon","","a","The Internet"
"2","An t-Ollamh MacIllinnein","","a","Doctor MacLennan"
"2","An t-Onarach","","a",""Honourable"," The""
"2","An t-Onarach","","a","The Honourable"
"2","An t-Seirbheis Chatharra","","a","the Civil Service"
"2","An t-Àrd-ollamh Mac an Oighre","","a","Professor McNeir"
"2","Aonad Buileachaidh","","a","Implementation Unit"
