WORD_ID,GAELIC,ENGLISH,OTHER,NON_NATIVE,INFO,AUDIO,LATIN,GAELIC_WORD_GENDER,PLURALS,WORD_CATEGORY
1,nathair-nimhe,adder,,,sometimes nathair,,Vipera berus,F,nathraichean-nimhe,11
12,Achd Fiadh-bheatha 's Dùthcha na Rìoghachd Aonaichte,UK Wildlife and Countryside Act,,,,,,F,,
17,dearc-luachrach,newt,,,,dearc luachrach.mp3,Triturus spp.,F,dearcan-luachrach,11
18,dearc-luachrach ghainmhich,sand lizard,,,,,Lacerta agilis,F,dearcan-luachrach gainmhich,11
19,luaireag,storm petrel,amhlag mhara <em>f</em>,,,,Hydrobates pelagicus,F,"luaireagan, amhlagan mara",4
20,leamhan,elm,ailm <em>f</em>,,"The Gaelic alphabet contains 18 letters, each of which was traditionally linked with a tree name. Ailm represents the letter 'a' in the Gaelic alphabet.",,Ulmus spp.,M,leamhain,3
21,bratag,caterpillar,burras <em>m</em>,,burras is used more commonly for hairy species,bratag.mp3,Lepidoptera (Order) spp.,F,"bratagan, burrais",12
24,gòbhlan-dubh,swift,"ainleag-dhubh <em>f</em>, gòbhlan mòr <em>m</em>",,,goblan-dubh.mp3,Apus apus,M,"gòbhlain-dhubha, ainleagan dubha, gòbhlanan mòra",4
28,daingneach,stronghold,,,,aitean daingneach.mp3,,M,,5
34,Am Màrt,March,,,,,,M,,10
35,eun-Bealltainn,whimbrel,amadan-Bealltainn,,"The name 'amadan-Bealltainn' means the fool of Beltane, because of when it appears and how easy it is to hunt.",,Numenius phaeopus,M,"eòin-Bhealltainn, amadain-Bhealltainn",4
37,glas-lach,wigeon,,,,glas-lach.mp3,Anas penelope,F,glas-lachan,4
42,An Cèitean,May,a' Mhàigh <em>f</em>,,"Traditionally, fires we're lit and cattle driven through them on the first day of the month - Là Buidhe Bealltainn.",an ceitean.mp3,,M,,10
44,An Cuan Siar,Atlantic Ocean,An Cuan Atlantaig (fir),,The Gaelic name means 'the west ocean'.,an cuan siar.mp3,,M,,7
45,An Dàmhair,October,,,Dàmhair is also the Gaelic for the deer rutting season which occurs in October.,An Damhair.mp3,,F,,10
46,An Dùbhlachd,December,Dùdlachd <em>f</em>,,Means 'depths of winter'.,an dublachd.mp3,,F,,10
47,Am Faoilleach,January,Faoilteach,,Traditionally - 'the season of the wolf-ravage'.,,,M,,10
48,An Gearran,February,,,The time of the horse wind.,an gearran.mp3,,M,,10
49,An Giblean,April,,,,an giblean.mp3,,M,,10
51,An Lùnastal,August,,,Originally a festival to the pagan god Lugh.,,,M,,10
52,An t-Iuchar,July,Am Mìos Buidhe <em>m</em>,,Am Mìos Buidhe is 'the yellow month'.,,,M,,10
53,An t-Ògmhios,June,,,,,,M,,10
54,An t-Samhain,November,Am Mìos Dubh <em>m</em>,,Am Mìos Dubh is 'the black month'; Samhain is the traditional start of winter.,An Samhain.mp3,,F,,10
55,An t-Sultain,September,,,The time of fattened animals.,an t-Sultain.mp3,,F,,10
56,tearc,rare,annasach,,,"annasach.mp3, tearc.mp3",,,,
65,feur,hay,feur tioram,,Feur is also more commonly used for grass.,,,M,,
67,earrach,spring (season),,,One would normally use 'as t-earrach' (in the spring) when refering to springtime.,,,M,earraichean,10
72,famhalan ,water vole,"lamhallan <em>m</em>, radan-uisge <em>m</em>",,,lamhallan.mp3,Arvicola amphibius,M,"famhalain, lamhallan, radain-uisge",9
73,fearaid,ferret,,,,fearaid.mp3,Mustela furo,F,fearaidean,9
