 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "(an) còrr" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "corra" ,
 "http://faclair.ac.uk/sources/Seotal" , "A' Chruthaigheachd" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "A' Chruthaigheachd" ,
 "http://faclair.ac.uk/sources/Seotal" , "Aidmheinteach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Aidmheintich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Altaig" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Altaig" ,
 "http://faclair.ac.uk/sources/Seotal" , "Am Brag Mòr" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "a' Bhraig Mhòir" ,
 "http://faclair.ac.uk/sources/Seotal" , "Am Pòla a Deas" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "a' Phòla a Deas" ,
 "http://faclair.ac.uk/sources/Seotal" , "Am Pòla a Tuath" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "a' Phòla a Tuath" ,
 "http://faclair.ac.uk/sources/Seotal" , "Apocrypha" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Apocrypha" ,
 "http://faclair.ac.uk/sources/Seotal" , "Arabais" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Arabais" ,
 "http://faclair.ac.uk/sources/Seotal" , "Babachd" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Babachd" ,
 "http://faclair.ac.uk/sources/Seotal" , "Baisteach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Baistich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Beurla" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Beurla" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bheunas" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Bheunais" ,
