 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Bheunas an dàrna planaid bhon Ghrèin" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Iupatar an còigeamh planaid bhon Ghrèin, agus a' phlanaid as motha sa Chrios-grèine" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Màrs an ceathramh planaid bhon Ghrèin" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Neiptiun an t-ochdamh planaid bhon Ghrèin agus an tè is fhaide air falbh bhuaipe" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Pluto an nì as motha ann an Crios Kuiper" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Satharn an t-siathamh planaid bhon Ghrèin" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "'S e Urànas an t-seachdamh planaid bhon Ghrèin" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "(an) còrr" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Mathematics]" ,
 "http://faclair.ac.uk/sources/Seotal" , "(dèan) dealbh" , "http://faclair.ac.uk/meta/Verb" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Art]" ,
 "http://faclair.ac.uk/sources/Seotal" , "(gu) rianail" , "http://faclair.ac.uk/meta/adverb" , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "(na) grèine" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "(rud) air atharrachadh" , "http://faclair.ac.uk/meta/Adjective" , "http://www.w3.org/2000/01/rdf-schema#label" , "[Science]" ,
 "http://faclair.ac.uk/sources/Seotal" , "10 Iuchar" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "10mh (An t-) Iuchar" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "11 Lùnastal" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "11 Samhain" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "11mh (An t-)Samhain" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
 "http://faclair.ac.uk/sources/Seotal" , "11mh (An) Lùnastal" ,  , "http://www.w3.org/2000/01/rdf-schema#label" , "[General]" ,
