 "g" , "hw" , "pos" , "sub" , "f" ,
 "http://faclair.ac.uk/sources/Seotal" , "(an) còrr" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "corran" ,
 "http://faclair.ac.uk/sources/Seotal" , "Aidmheinteach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Aidmheintich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Baisteach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Baistich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bluetooth" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Bluetoothan" ,
 "http://faclair.ac.uk/sources/Seotal" , "Budach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Budaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Bìoball" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Bìobaill" ,
 "http://faclair.ac.uk/sources/Seotal" , "Clàr-innse" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "clàran-innse" ,
 "http://faclair.ac.uk/sources/Seotal" , "Crìosdaidh" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Crìosdaidhean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Eachdraidh" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "eachdraidhean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Eag-sgoil" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Eag-sgoiltean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Hindeach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Hindich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Iùdhach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Iùdhaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Iùro" , "http://faclair.ac.uk/meta/noun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Iùrothan" ,
 "http://faclair.ac.uk/sources/Seotal" , "Lochlannach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Lochlannaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Lìon" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Lìn" ,
 "http://faclair.ac.uk/sources/Seotal" , "Meatodach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Meatodaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Mion-chunntas Làraich" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Mion-chunntasan Làraich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Muslamach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Muslamaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Nollaig" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Nollaigean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Nàsach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Nàsaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Pròstanach" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Pròstanaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Sagson" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Sagsonaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Sealladh deilbh" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Seallaidhean deilbh" ,
 "http://faclair.ac.uk/sources/Seotal" , "Siog" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Siogaich" ,
 "http://faclair.ac.uk/sources/Seotal" , "Siog" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Siogan" ,
 "http://faclair.ac.uk/sources/Seotal" , "Sombaidh" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Sombaidhean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Sàbaid" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "Sàbaidean" ,
 "http://faclair.ac.uk/sources/Seotal" , "T-sgueathar" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "T-sgueathraichean" ,
 "http://faclair.ac.uk/sources/Seotal" , "Tòiseachadh" , "http://faclair.ac.uk/meta/MasculineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "tòiseachaidhean" ,
 "http://faclair.ac.uk/sources/Seotal" , "abairt" , "http://faclair.ac.uk/meta/FeminineNoun" , "http://www.w3.org/2000/01/rdf-schema#label" , "abairtean" ,
